TARİH,GÜN,GÜNLÜK TOPLAM (Tüm Okul),SAAT,SINIF,DERS ADI
23 Mart,Pazartesi,6 Sınav,09.10-09.50,9,İNGİLİZCE
23 Mart,Pazartesi,,10.20-11.00,9,S.TEMEL DİNİ BİLGİLER
23 Mart,Pazartesi,,14.30-15.10,10,İNGİLİZCE
23 Mart,Pazartesi,,15.40-16.20,10,BİYOLOJİ
23 Mart,Pazartesi,,14.30-15.10,11,SEÇMELİ COĞRAFYA
23 Mart,Pazartesi,,15.40-16.20,11,S.TEMEL MATEMATİK
---,---,---,---,---,---
24 Mart,Salı,5 Sınav,09.10-09.50,9,FİZİK
24 Mart,Salı,,14.30-15.10,10,KİMYA
24 Mart,Salı,,15.40-16.20,10,SEÇMELİ METİN TAHLİLLERİ
24 Mart,Salı,,14.30-15.10,11,FELSEFE
24 Mart,Salı,,15.40-16.20,11,İNGİLİZCE
---,---,---,---,---,---
25 Mart,Çarşamba,6 Sınav,09.10-09.50,9,COĞRAFYA
25 Mart,Çarşamba,,10.20-11.00,9,DİN KÜLTÜRÜ VE AHLAK BİLGİSİ
25 Mart,Çarşamba,,14.30-15.10,10,TÜRK SOSYAL HAYATINDA AİLE
25 Mart,Çarşamba,,15.40-16.20,10,FİZİK
25 Mart,Çarşamba,,14.30-15.10,11,TARİH
25 Mart,Çarşamba,,15.40-16.20,11,DİN KÜLTÜRÜ VE AHLAK BİLGİSİ
---,---,---,---,---,---
26 Mart,Perşembe,6 Sınav,09.10-09.50,9,BİYOLOJİ
26 Mart,Perşembe,,10.20-11.00,9,TARİH
26 Mart,Perşembe,,14.30-15.10,10,FELSEFE
26 Mart,Perşembe,,15.40-16.20,10,S.PEYGAMBERİMİZİN HAYATI
26 Mart,Perşembe,,14.30-15.10,11,TÜRK DİLİ VE EDEBİYATI
---,---,---,---,---,---
27 Mart,Cuma,4 Sınav,09.10-09.50,9,KİMYA
27 Mart,Cuma,,10.20-11.00,9,MESLEKİ GELİŞİM ATÖLYESİ
27 Mart,Cuma,,14.30-15.10,10,DİN KÜLTÜRÜ VE AHLAK BİLGİSİ
27 Mart,Cuma,,15.40-16.20,10,TARİH
---,---,---,---,---,---
30 Mart,Pazartesi,3 Sınav,09.10-09.50,9,TÜRK DİLİ VE EDEBİYATI
30 Mart,Pazartesi,,10.20-11.00,9,TÜRK SOSYAL HAYATINDA AİLE
30 Mart,Pazartesi,,14.30-15.10,10,TÜRK DİLİ VE EDEBİYATI
---,---,---,---,---,---
31 Mart,Salı,3 Sınav,09.10-09.50,9,MATEMATİK
31 Mart,Salı,,10.20-11.00,9,S.DEMOKRASİ VE İNSAN HAKLARI
31 Mart,Salı,,14.30-15.10,10,MATEMATİK
---,---,---,---,---,---
01 Nisan,Çarşamba,2 Sınav,14.30-15.10,10,SEÇMELİ ADABI MUAŞERET
01 Nisan,Çarşamba,,15.40-16.20,10,COĞRAFYA
